date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2021-10-03,2021,0,,ATL,NYM,1549.76134517828,1491.72666173945,0.6159113363895317,0.38408866361046834,,,1545.78649154653,1513.23812627799,,,,,,,0.5840678650368448,0.4159321349631552,,,,
2021-10-03,2021,0,,STL,CHC,1501.87120171654,1459.83471765656,0.5939060389969069,0.40609396100309314,,,1499.58462351236,1466.12765827776,,,,,,,0.5736870455088047,0.42631295449119533,,,,
2021-10-03,2021,0,,SEA,ANA,1497.70179523566,1478.15638355694,0.5623407982828341,0.4376592017171659,,,1484.86291490991,1489.90979813406,,,,,,,0.5367901936011468,0.46320980639885323,,,,
2021-10-03,2021,0,,LAD,MIL,1595.24091214439,1544.7872499585,0.6055368591432639,0.39446314085673606,,,1602.4196313157,1542.56174552803,,,,,,,0.620425545665054,0.37957445433494597,,,,
2021-10-03,2021,0,,KCR,MIN,1471.646204658,1482.60276084942,0.5187622108541979,0.48123778914580206,,,1469.47558398082,1493.97650389734,,,,,,,0.4977953310074114,0.5022046689925885,,,,
2021-10-03,2021,0,,HOU,OAK,1566.45234850166,1531.00814134585,0.5847220043774387,0.4152779956225613,,,1568.48700702334,1522.16382411622,,,,,,,0.6092120350159552,0.3907879649840448,,,,
2021-10-03,2021,0,,CHW,DET,1534.09289415172,1471.38331136005,0.6222573200047452,0.3777426799952548,,,1538.12751855254,1467.40352099158,,,,,,,0.6346507752672594,0.36534922473274056,,,,
2021-10-03,2021,0,,ARI,COL,1446.65404633497,1490.31986980163,0.47172879106173454,0.5282712089382655,,,1447.67857436513,1469.41469378385,,,,,,,0.5052120641547302,0.4947879358452698,,,,
2021-10-03,2021,0,,TOR,BAL,1530.03383020797,1423.8516565553,0.6790455139434595,0.32095448605654053,,,1529.53702401178,1415.17727098673,,,,,,,0.6932605748382556,0.30673942516174435,,,,
2021-10-03,2021,0,,TEX,CLE,1431.70764117931,1496.85625815975,0.4410577152254637,0.5589422847745362,,,1433.89542214662,1501.58652791649,,,,,,,0.44388576400739593,0.5561142359926041,,,,
2021-10-03,2021,0,,SFG,SDP,1567.18513229371,1514.20620080363,0.6090037247902605,0.39099627520973945,,,1547.80015435408,1535.51541093317,,,,,,,0.5472420273408114,0.4527579726591886,,,,
2021-10-03,2021,0,,PIT,CIN,1429.45560263725,1521.14990443105,0.4037944026511957,0.5962055973488043,,,1421.31608515729,1516.6100577261,,,,,,,0.396557570216151,0.603442429783849,,,,
2021-10-03,2021,0,,NYY,TBD,1556.29741930745,1576.16967999823,0.5059400149038527,0.49405998509614735,,,1566.8104067249,1571.22411836442,,,,,,,0.5255093699529203,0.4744906300470797,,,,
2021-10-03,2021,0,,FLA,PHI,1474.41201421677,1503.67164077557,0.49243136709550783,0.5075686329044922,,,1467.7166661226,1504.05382005797,,,,,,,0.4772679619318123,0.5227320380681877,,,,
2021-10-03,2021,0,,WSN,BOS,1487.77753321268,1523.97454764482,0.4824542925406127,0.5175457074593873,,,1496.60190060511,1520.93691867958,,,,,,,0.46892131771931894,0.531078682280681,,,,
2021-10-02,2021,0,,SEA,ANA,1497.70179523566,1478.15638355694,0.5623407982828341,0.4376592017171659,,,1484.86291490991,1489.90979813406,,,,,,,0.5367901936011468,0.46320980639885323,,,,
2021-10-02,2021,0,,LAD,MIL,1595.24091214439,1544.7872499585,0.6055368591432639,0.39446314085673606,,,1602.4196313157,1542.56174552803,,,,,,,0.620425545665054,0.37957445433494597,,,,
2021-10-02,2021,0,,ARI,COL,1446.65404633497,1490.31986980163,0.47172879106173454,0.5282712089382655,,,1447.67857436513,1469.41469378385,,,,,,,0.5052120641547302,0.4947879358452698,,,,
2021-10-02,2021,0,,ATL,NYM,1549.76134517828,1491.72666173945,0.6159113363895317,0.38408866361046834,,,1545.78649154653,1513.23812627799,,,,,,,0.5840678650368448,0.4159321349631552,,,,
2021-10-02,2021,0,,STL,CHC,1501.87120171654,1459.83471765656,0.5939060389969069,0.40609396100309314,,,1499.58462351236,1466.12765827776,,,,,,,0.5736870455088047,0.42631295449119533,,,,
2021-10-02,2021,0,,KCR,MIN,1471.646204658,1482.60276084942,0.5187622108541979,0.48123778914580206,,,1469.47558398082,1493.97650389734,,,,,,,0.4977953310074114,0.5022046689925885,,,,
2021-10-02,2021,0,,HOU,OAK,1566.45234850166,1531.00814134585,0.5847220043774387,0.4152779956225613,,,1568.48700702334,1522.16382411622,,,,,,,0.6092120350159552,0.3907879649840448,,,,
2021-10-02,2021,0,,CHW,DET,1534.09289415172,1471.38331136005,0.6222573200047452,0.3777426799952548,,,1538.12751855254,1467.40352099158,,,,,,,0.6346507752672594,0.36534922473274056,,,,
2021-10-02,2021,0,,TEX,CLE,1431.70764117931,1496.85625815975,0.4410577152254637,0.5589422847745362,,,1433.89542214662,1501.58652791649,,,,,,,0.44388576400739593,0.5561142359926041,,,,
2021-10-02,2021,0,,PIT,CIN,1429.45560263725,1521.14990443105,0.4037944026511957,0.5962055973488043,,,1421.31608515729,1516.6100577261,,,,,,,0.396557570216151,0.603442429783849,,,,
2021-10-02,2021,0,,FLA,PHI,1474.41201421677,1503.67164077557,0.49243136709550783,0.5075686329044922,,,1467.7166661226,1504.05382005797,,,,,,,0.4772679619318123,0.5227320380681877,,,,
2021-10-02,2021,0,,WSN,BOS,1487.77753321268,1523.97454764482,0.4824542925406127,0.5175457074593873,,,1496.60190060511,1520.93691867958,,,,,,,0.46892131771931894,0.531078682280681,,,,
2021-10-02,2021,0,,SFG,SDP,1567.18513229371,1514.20620080363,0.6090037247902605,0.39099627520973945,,,1547.80015435408,1535.51541093317,,,,,,,0.5472420273408114,0.4527579726591886,,,,
2021-10-02,2021,0,,TOR,BAL,1530.03383020797,1423.8516565553,0.6790455139434595,0.32095448605654053,,,1529.53702401178,1415.17727098673,,,,,,,0.6932605748382556,0.30673942516174435,,,,
2021-10-02,2021,0,,NYY,TBD,1556.29741930745,1576.16967999823,0.5059400149038527,0.49405998509614735,,,1566.8104067249,1571.22411836442,,,,,,,0.5255093699529203,0.4744906300470797,,,,
